car_ID,manufacturer_id,model,trim,vehicle_type_id,msrp_price,door_number,city_mpg,highway_mpg,horsepower,engine,transmission_id,drivetrain_id,height_in,width_in,length_in,wheelbase,curb_weight,fuel_tank_size,web_link
28,6,3,330i Sedan,1,41450,4,26,36,255,2.0L-Turbocharged 4 Cylinder,1,1,56.8,71.9,185.7,112.2,3582,15.6,https://www.bmwusa.com/vehicles/3-series/sedan/overview.html
29,6,3,M340i Sedan,1,54700,4,26,36,255,2.0L-Turbocharged 4 Cylinder,1,1,56.8,71.9,185.7,112.2,3582,15.6,https://www.bmwusa.com/vehicles/3-series/sedan/overview.html
30,6,3,330e Sedan,1,42950,4,26,36,255,2.0L-Turbocharged 4 Cylinder,1,1,56.8,71.9,185.7,112.2,3582,15.6,https://www.bmwusa.com/vehicles/3-series/sedan/overview.html
31,6,5,530i xDrive Sedan,1,56500,4,25,33,248,2.0L-Turbocharged 4 Cylinder,1,1,58.2,73.5,195.8,117.1,3765,18,https://www.bmwusa.com/vehicles/5-series/sedan/overview.html
32,6,5,530e xDrive Sedan,1,57850,4,26,26,288,Intercooled Turbo Gas/Electric I-4,1,1,58.2,73.5,195.8,117.1,4222,12.1,https://www.bmwusa.com/vehicles/5-series/sedan/overview.html
33,6,5,540i xDrive Sedan,1,62250,4,25,32,335,Intercooled Turbo Gas/Electric I-6,1,1,58.2,73.5,195.8,117.1,3898,18,https://www.bmwusa.com/vehicles/5-series/sedan/overview.html
34,6,5,M550i xDrive Sedan,1,76800,4,17,25,,4.4L twin-turbocharged V8,1,3,58.2,73.5,195.8,117.1,4275,18,https://www.bmwusa.com/vehicles/5-series/sedan/overview.html
35,6,5,530i Sedan,1,54200,4,25,33,248,2.0L-Turbocharged 4 Cylinder,1,1,58.2,73.5,195.8,117.1,3765,18,https://www.bmwusa.com/vehicles/5-series/sedan/overview.html
36,6,5,530e Sedan,1,55550,4,26,26,288,2.0L-Turbocharged 4 Cylinder,1,1,58.4,73.5,195.8,117.1,4222,12.1,https://www.bmwusa.com/vehicles/5-series/sedan/overview.html
37,6,5,540i Sedan,1,59950,4,25,32,335,Intercooled Turbo Gas/Electric I-6,1,1,58.2,73.5,195.8,117.1,4222,18,https://www.bmwusa.com/vehicles/5-series/sedan/overview.html
38,6,7,740i xDrive Sedan,1,89800,4,22,29,335,3.0L twin-turbocharged inline-6,1,1,58.2,74.9,207.4,126.4,4244,20.6,https://www.bmwusa.com/vehicles/7-series/sedan/overview.html
39,6,7,745e xDrive,1,95900,4,22,22,389,Intercooled Turbo Gas/Electric I-6,1,3,58.2,74.9,207.4,126.4,4848,20.6,https://www.bmwusa.com/vehicles/7-series/sedan/overview.html
40,6,7,750i xDrive Sedan,1,103000,4,19,24,523,4.4L twin-turbocharged V8,1,3,58.2,74.9,207.4,126.4,4722,20.6,https://www.bmwusa.com/vehicles/7-series/sedan/overview.html
41,6,7,M760i xDrive Sedan,1,157800,4,13,20,600,6.6L twin-turbocharged V12,1,3,58.2,74.9,207.4,126.4,5159,20.6,https://www.bmwusa.com/vehicles/7-series/sedan/overview.html
42,6,7,ALPINA B7 xDrive,1,143200,4,17,24,600,4.4L twin-turbocharged V8,1,3,58.2,74.9,207.4,126.4,4855,20.6,https://www.bmwusa.com/vehicles/7-series/sedan/overview.html
43,6,7,BMW 740i Sedan,1,86800,4,22,29,335,3.0L twin-turbocharged inline-6,1,1,58.2,73.5,195.8,117.1,4222,18,https://www.bmwusa.com/vehicles/7-series/sedan/overview.html
44,6,M,M3 Sedan,1,70100,4,16,23,473,3.0L twin-turbocharged inline-6,1,1,56.4,74.3,189.1,112.5,3840,15.6,https://www.bmwusa.com/vehicles/m-models.html
45,6,M,M3 Competition Sedan,1,73000,4,16,23,503,3.0L twin-turbocharged inline-6,1,1,56.4,74.3,189.1,112.5,3840,15.6,https://www.bmwusa.com/vehicles/m-models.html
46,6,M,M3 Competition xDrive Sedan,1,77100,4,16,23,503,3.0L twin-turbocharged inline-6,1,1,56.4,74.3,189.1,112.5,3840,15.6,https://www.bmwusa.com/vehicles/m-models.html
47,6,M,M4 Coupe,4,72000,2,16,23,473,3.0L twin-turbocharged inline-6,1,1,54.8,74.3,189.1,112.5,3830,15.6,https://www.bmwusa.com/vehicles/m-models.html
48,6,M,M4 Competition Coupe,4,74900,2,16,23,503,3.0L twin-turbocharged inline-6,1,1,54.8,74.3,189.1,112.5,3830,15.6,https://www.bmwusa.com/vehicles/m-models.html
49,6,M,M4 Competition xDrive Coupe,4,79000,2,16,23,503,3.0L twin-turbocharged inline-6,1,1,54.8,74.3,189.1,112.5,3830,15.6,https://www.bmwusa.com/vehicles/m-models.html
50,6,M,M4 Competition xDrive Convertible,1,86500,4,16,23,503,3.0L twin-turbocharged inline-6,1,1,54.8,74.3,189.1,112.5,3830,15.6,https://www.bmwusa.com/vehicles/m-models.html
51,6,M,M5 Sedan,1,103700,4,15,21,600,4.4L twin-turbocharged V8,1,3,58,74.9,196.4,117.4,4345,20.1,https://www.bmwusa.com/vehicles/m-models.html
52,6,M,M5 Competition Sedan,1,111300,4,15,21,617,4.4L twin-turbocharged V8,1,3,58,74.9,196.4,117.4,4345,20.1,https://www.bmwusa.com/vehicles/m-models.html
53,6,M,M5 CS Sedan,1,140000,4,15,21,635,4.4L twin-turbocharged V8,1,3,58,74.9,196.4,117.4,4345,20.1,https://www.bmwusa.com/vehicles/m-models.html
54,6,M,M8 Competition Coupe,4,130000,2,15,21,617,4.4L twin-turbocharged V8,1,3,53,74.9,191.2,111.1,4295,20.1,https://www.bmwusa.com/vehicles/m-models.htmlv
55,6,M,M8 Competition Gran Coupe,4,130000,2,15,21,635,4.4L twin-turbocharged V8,1,3,53,74.9,191.2,111.1,4295,20.1,https://www.bmwusa.com/vehicles/m-models.html
56,6,M,M8 Competition Convertible,1,139500,4,15,21,635,4.4L twin-turbocharged V8,1,3,53,74.9,191.2,111.1,4295,20.1,https://www.bmwusa.com/vehicles/m-models.html
57,6,2,M240i xDrive Coupe,4,48550,2,23,32,382,3.0L twin-turbocharged inline-6,1,3,55.3,72.4,179.4,107.9,3871,13.7,https://www.bmwusa.com/vehicles/2-series/overview.html
58,6,2,230i sDrive Coupe,4,35350,2,26,35,255,2.0L-Turbocharged 4 Cylinder,1,1,54.8,72.4,179,107.9,3519,13.7,https://www.bmwusa.com/vehicles/2-series/overview.html
59,6,2,228i xDrive Gran Coupe,4,37700,2,26,35,255,2.0L-Turbocharged 4 Cylinder,1,1,54.8,72.4,179,107.9,3519,13.7,https://www.bmwusa.com/vehicles/2-series/overview.html
60,6,2,M235i xDrive Gran Coupe,4,45500,2,23,32,382,3.0L twin-turbocharged inline-6,1,3,54.8,72.4,179,107.9,3519,13.7,https://www.bmwusa.com/vehicles/2-series/overview.html
61,6,2,228i Gran Coupe sDrive,4,35700,2,26,35,255,2.0L-Turbocharged 4 Cylinder,1,1,54.8,72.4,179,107.9,3519,13.7,https://www.bmwusa.com/vehicles/2-series/overview.html
62,6,4,430i xDrive Coupe,4,47800,2,25,34,255,2.0L-Turbocharged 4 Cylinder,1,1,54.6,72.9,187.9,112.2,3578,15.6,https://www.bmwusa.com/vehicles/4-series/overview.html
63,6,4,M440i xDrive Coupe,4,58700,2,23,32,382,3.0L twin-turbocharged inline-6,1,3,54.6,72.9,187.9,112.2,3578,15.6,https://www.bmwusa.com/vehicles/4-series/overview.html
64,6,4,430i sDrive Coupe,4,45800,2,25,34,255,2.0L-Turbocharged 4 Cylinder,1,1,54.6,72.9,187.9,112.2,3578,15.6,https://www.bmwusa.com/vehicles/4-series/overview.html
65,6,4,M440i sDrive Coupe,4,56700,2,23,32,382,3.0L twin-turbocharged inline-6,1,3,54.6,72.9,187.9,112.2,3578,15.6,https://www.bmwusa.com/vehicles/4-series/overview.html
66,6,4,M440i xDrive Gran Coupe,4,58200,2,23,32,382,3.0L twin-turbocharged inline-6,1,3,54.6,72.9,187.9,112.2,3578,15.6,https://www.bmwusa.com/vehicles/4-series/overview.html
67,6,4,430i sDrive Coupe,4,45200,2,25,34,255,2.0L-Turbocharged 4 Cylinder,1,1,54.6,72.9,187.9,112.2,3578,15.6,https://www.bmwusa.com/vehicles/4-series/overview.html
68,6,8,840i xDrive Coupe,4,87900,2,23,30,335,3.0L twin-turbocharged inline-6,1,1,53,74.9,191.2,111.1,3933,18,https://www.bmwusa.com/vehicles/8-series/overview.html
69,6,8,M850i xDrive Coupe,4,99900,2,22,29,,4.4L twin-turbocharged V8,1,3,53,74.9,191.2,111.1,4262,18,https://www.bmwusa.com/vehicles/8-series/overview.html
70,6,8,840i sDrive Coupe,4,88000,2,23,30,335,3.0L twin-turbocharged inline-6,1,1,53,74.9,191.2,111.1,3933,18,https://www.bmwusa.com/vehicles/8-series/overview.html
71,6,8,840i xDrive Gran Coupe,4,87900,2,22,29,335,3.0L twin-turbocharged inline-6,1,1,53,74.9,191.2,111.1,4262,18,https://www.bmwusa.com/vehicles/8-series/overview.html
72,6,8,M850i xDrive Gran Coupe,4,99900,2,22,29,335,4.4L twin-turbocharged V8,1,3,53,74.9,191.2,111.1,4262,18,https://www.bmwusa.com/vehicles/8-series/overview.html
73,6,8,840i sDrive Gran Coupe,4,85000,2,22,29,335,3.0L twin-turbocharged inline-6,1,1,53,74.9,191.2,111.1,4262,18,https://www.bmwusa.com/vehicles/8-series/overview.html
74,6,8,ALPINA B8 xDrive Gran Coupe,4,139900,2,17,24,612,4.4L twin-turbocharged V8,1,3,56,76.1,200.4,119,4831,18,https://www.bmwusa.com/vehicles/8-series/overview.html
75,6,4,430i xDrive Convertible,1,55400,4,25,34,255,2.0L-Turbocharged 4 Cylinder,1,1,54.6,72.9,187.9,112.2,3578,15.6,https://www.bmwusa.com/vehicles/4-series/overview.html
76,6,4,440i xDrive Convertible,1,65900,4,25,34,255,2.0L-Turbocharged 4 Cylinder,1,1,54.6,72.9,187.9,112.2,3578,15.6,https://www.bmwusa.com/vehicles/4-series/overview.html
77,6,4,430i Convertible,1,55300,4,25,34,255,2.0L-Turbocharged 4 Cylinder,1,1,54.6,72.9,187.9,112.2,3578,15.6,https://www.bmwusa.com/vehicles/4-series/overview.html
78,6,4,440i Convertible,1,64200,4,25,34,255,2.0L-Turbocharged 4 Cylinder,1,1,54.6,72.9,187.9,112.2,3578,15.6,https://www.bmwusa.com/vehicles/4-series/overview.html
79,6,8,840i xDrive Convertible,1,97300,4,23,30,335,3.0L twin-turbocharged inline-6,1,1,53,74.9,191.2,111.1,3933,18,https://www.bmwusa.com/vehicles/8-series/overview.html
80,6,8,M850i xDrive Convertible,1,109400,4,22,29,,4.4L twin-turbocharged V8,1,3,53,74.9,191.2,111.1,4262,18,https://www.bmwusa.com/vehicles/8-series/overview.html
81,6,8,840i Convertible,1,94400,4,22,29,,3.0L twin-turbocharged inline-6,1,1,53,74.9,191.2,111.1,4262,18,https://www.bmwusa.com/vehicles/8-series/overview.html
82,6,Z,Z4 sDrive30i,4,49900,2,25,32,255,2.0L turbocharged inline-4,1,1,51.4,73.4,170.7,97.2,3287,13.7,https://www.bmwusa.com/vehicles/z4/roadster/overview.html
83,6,Z,Z4 M40i,4,63700,2,25,32,255,2.0L turbocharged inline-4,1,1,51.4,73.4,170.7,97.2,3287,13.7,https://www.bmwusa.com/vehicles/z4/roadster/overview.html
